,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
2,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Home,Roma,4-2-3-1,1.0,1.0,D,1.0,14.0,3.0,21.4,0.07,0.33,23.6,0.0,0.0,Juventus,2022
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,Spezia,4-3-3,2.0,0.0,W,2.0,15.0,3.0,20.0,0.13,0.67,18.6,0.0,0.0,Juventus,2022
4,2022-09-03,15:00,Serie A,Matchweek 5,Sat,Away,Fiorentina,4-3-3,1.0,1.0,D,1.0,4.0,1.0,25.0,0.25,1.0,14.2,0.0,0.0,Juventus,2022
5,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,fr Paris S-G,3-5-2,1.0,2.0,L,1.0,13.0,4.0,30.8,0.08,0.25,14.3,0.0,0.0,Juventus,2022
6,2022-09-11,20:45,Serie A,Matchweek 6,Sun,Home,Salernitana,4-3-3,2.0,2.0,D,2.0,22.0,6.0,27.3,0.09,0.33,18.6,0.0,1.0,Juventus,2022
7,2022-09-14,21:00,Champions Lg,Group stage,Wed,Home,pt Benfica,3-5-2,1.0,2.0,L,1.0,11.0,3.0,27.3,0.09,0.33,19.6,0.0,0.0,Juventus,2022
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,Monza,4-3-3,0.0,1.0,L,0.0,10.0,2.0,20.0,0.0,0.0,12.9,0.0,0.0,Juventus,2022
9,2022-10-02,20:45,Serie A,Matchweek 8,Sun,Home,Bologna,4-4-2,3.0,0.0,W,3.0,17.0,6.0,35.3,0.18,0.5,14.1,0.0,0.0,Juventus,2022
10,2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,il Maccabi Haifa,4-3-3,3.0,1.0,W,3.0,16.0,7.0,43.8,0.19,0.43,18.7,0.0,0.0,Juventus,2022
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Away,Milan,4-4-2,0.0,2.0,L,0.0,10.0,3.0,30.0,0.0,0.0,17.9,0.0,0.0,Juventus,2022
12,2022-10-11,19:45,Champions Lg,Group stage,Tue,Away,il Maccabi Haifa,4-4-2,0.0,2.0,L,0.0,10.0,5.0,50.0,0.0,0.0,18.1,0.0,0.0,Juventus,2022
13,2022-10-15,18:00,Serie A,Matchweek 10,Sat,Away,Torino,3-5-2,1.0,0.0,W,1.0,14.0,8.0,57.1,0.07,0.13,15.6,0.0,0.0,Juventus,2022
14,2022-10-21,20:45,Serie A,Matchweek 11,Fri,Home,Empoli,3-5-2,4.0,0.0,W,4.0,21.0,7.0,33.3,0.19,0.57,14.3,0.0,0.0,Juventus,2022
15,2022-10-25,20:00,Champions Lg,Group stage,Tue,Away,pt Benfica,3-5-2,3.0,4.0,L,3.0,13.0,4.0,30.8,0.23,0.75,9.7,0.0,0.0,Juventus,2022
16,2022-10-29,18:00,Serie A,Matchweek 12,Sat,Away,Lecce,4-4-1-1,1.0,0.0,W,1.0,13.0,5.0,38.5,0.08,0.2,18.6,0.0,0.0,Juventus,2022
17,2022-11-02,21:00,Champions Lg,Group stage,Wed,Home,fr Paris S-G,3-5-1-1,1.0,2.0,L,1.0,15.0,2.0,13.3,0.07,0.5,20.1,0.0,0.0,Juventus,2022
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Home,Inter,3-5-1-1,2.0,0.0,W,2.0,8.0,3.0,37.5,0.25,0.67,16.0,0.0,0.0,Juventus,2022
19,2022-11-10,18:30,Serie A,Matchweek 14,Thu,Away,Hellas Verona,3-5-2,1.0,0.0,W,1.0,11.0,3.0,27.3,0.09,0.33,18.6,0.0,0.0,Juventus,2022
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Home,Lazio,3-5-2,3.0,0.0,W,3.0,13.0,9.0,69.2,0.23,0.33,17.5,0.0,0.0,Juventus,2022
21,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,Cremonese,3-5-1-1,1.0,0.0,W,1.0,19.0,8.0,42.1,0.05,0.13,19.0,0.0,0.0,Juventus,2022
22,2023-01-07,18:00,Serie A,Matchweek 17,Sat,Home,Udinese,3-5-1-1,1.0,0.0,W,1.0,14.0,4.0,28.6,0.07,0.25,12.9,0.0,0.0,Juventus,2022
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Away,Napoli,3-5-2,1.0,5.0,L,1.0,11.0,2.0,18.2,0.09,0.5,18.0,0.0,0.0,Juventus,2022
24,2023-01-19,21:00,Coppa Italia,Round of 16,Thu,Home,Monza,3-5-1-1,2.0,1.0,W,2.0,11.0,6.0,54.5,0.18,0.33,,0.0,0.0,Juventus,2022
25,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Home,Atalanta,3-5-1-1,3.0,3.0,D,3.0,14.0,7.0,50.0,0.14,0.29,19.2,1.0,1.0,Juventus,2022
26,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Home,Monza,3-5-2,0.0,2.0,L,0.0,22.0,8.0,36.4,0.0,0.0,17.6,0.0,0.0,Juventus,2022
