,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
42,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Home,eng Manchester City,4-2-3-1,1.0,1.0,D,1.0,18.0,5.0,27.8,0.0,0.0,18.6,1.0,1.0,Bayern-Munich,2022
43,2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,Mainz 05,3-1-4-2,1.0,3.0,L,1.0,11.0,2.0,18.2,0.09,0.5,14.3,0.0,0.0,Bayern-Munich,2022
44,2023-04-30,15:30,Bundesliga,Matchweek 30,Sun,Home,Hertha BSC,4-2-3-1,2.0,0.0,W,2.0,26.0,9.0,34.6,0.08,0.22,16.3,0.0,0.0,Bayern-Munich,2022
45,2023-05-06,18:30,Bundesliga,Matchweek 31,Sat,Away,Werder Bremen,4-2-3-1,2.0,1.0,W,2.0,13.0,4.0,30.8,0.15,0.5,14.7,0.0,0.0,Bayern-Munich,2022
46,2023-05-13,15:30,Bundesliga,Matchweek 32,Sat,Home,Schalke 04,4-1-4-1,6.0,0.0,W,6.0,24.0,12.0,50.0,0.21,0.42,16.5,1.0,1.0,Bayern-Munich,2022
47,2023-05-20,18:30,Bundesliga,Matchweek 33,Sat,Home,RB Leipzig,,,,,,,,,,,,,,Bayern-Munich,2022
48,2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Away,Köln,,,,,,,,,,,,,,Bayern-Munich,2022
0,2022-07-29,20:45,DFB-Pokal,Round of 64,Fri,Away,1860 Munich,4-2-3-1,3.0,0.0,W,3.0,25.0,11.0,44.0,0.12,0.27,,0.0,0.0,Dortmund,2022
1,2022-08-06,18:30,Bundesliga,Matchweek 1,Sat,Home,Leverkusen,4-3-3,1.0,0.0,W,1.0,14.0,4.0,28.6,0.07,0.25,17.8,0.0,0.0,Dortmund,2022
2,2022-08-12,20:30,Bundesliga,Matchweek 2,Fri,Away,Freiburg,4-2-3-1,3.0,1.0,W,3.0,13.0,6.0,46.2,0.23,0.5,20.6,0.0,0.0,Dortmund,2022
3,2022-08-20,15:30,Bundesliga,Matchweek 3,Sat,Home,Werder Bremen,4-2-3-1,2.0,3.0,L,2.0,6.0,4.0,66.7,0.33,0.5,21.2,0.0,0.0,Dortmund,2022
4,2022-08-27,15:30,Bundesliga,Matchweek 4,Sat,Away,Hertha BSC,4-2-3-1,1.0,0.0,W,1.0,22.0,6.0,27.3,0.05,0.17,14.5,0.0,0.0,Dortmund,2022
5,2022-09-02,20:30,Bundesliga,Matchweek 5,Fri,Home,Hoffenheim,4-5-1,1.0,0.0,W,1.0,15.0,5.0,33.3,0.07,0.2,13.3,0.0,0.0,Dortmund,2022
6,2022-09-06,18:45,Champions Lg,Group stage,Tue,Home,dk FC Copenhagen,4-2-3-1,3.0,0.0,W,3.0,15.0,4.0,26.7,0.2,0.75,18.1,0.0,0.0,Dortmund,2022
7,2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Away,RB Leipzig,4-2-3-1,0.0,3.0,L,0.0,5.0,0.0,0.0,0.0,,12.8,0.0,0.0,Dortmund,2022
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Away,eng Manchester City,4-3-3,1.0,2.0,L,1.0,5.0,2.0,40.0,0.2,0.5,12.2,0.0,0.0,Dortmund,2022
9,2022-09-17,15:30,Bundesliga,Matchweek 7,Sat,Home,Schalke 04,4-2-3-1,1.0,0.0,W,1.0,17.0,5.0,29.4,0.06,0.2,14.1,0.0,0.0,Dortmund,2022
10,2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Away,Köln,4-2-3-1,2.0,3.0,L,1.0,22.0,8.0,36.4,0.05,0.13,16.4,0.0,0.0,Dortmund,2022
11,2022-10-05,21:00,Champions Lg,Group stage,Wed,Away,es Sevilla,4-2-3-1,4.0,1.0,W,4.0,19.0,7.0,36.8,0.21,0.57,16.3,0.0,0.0,Dortmund,2022
12,2022-10-08,18:30,Bundesliga,Matchweek 9,Sat,Home,Bayern Munich,4-3-3,2.0,2.0,D,2.0,12.0,6.0,50.0,0.17,0.33,15.5,0.0,0.0,Dortmund,2022
